NOMBREs PARTICIPANTE,ID. Participante,CODIGO ficha,TÍTULO de la iniciativa,ENTIDAD promotora,PERSONAS de contacto (Datos),Año DESDE,AÑO HASTA,¿IMPLEMENTADA? (SI o NO),ORIGEN (EM o INST),PROVINCIA IMPULSORA,PROVINCIAS APLICACIÓN,T.I: 1-SERVICIOS,T.I. 2-PROCESOS,T.I. 3-GESTION PERSONAS,T.I. 4-PARTICIPACIÓN,T.I. 5-ORGANIZATIVA,T.I. 6-CAMBIO CULTURAL,T.I. 7-TECNOLÓGICA,T.I. 8-TRANSPARENCIA,T.I. 9-COLABORACIÓN,T.I. 10-GEST.CON,T.I. 11-BIENESTAR,T.I. 12-IGUALDAD GEN,T.I. 13-SENSIB.CUIDAD.,T.I. 14-NORMATIVO,A.A. 1-TURISMO,A.A. 2-JUSTICIA,A.A. 3-ADMON PUB.,A.A. 4-INTERIOR,A.A. 5-EMPLEO,A.A. 6-HACIENDA,A.A. 7-IND.ENERG,A.A. 8-EDUCACIÓN,A.A. 9-DEPORTE,A.A. 10-AGRIC-GAN-PESC,A.A. 11-M.AMBIENTE,A.A. 12-ECON.EMP.,A.A. 13-CON-UNIV,A.A. 14-SALUD,A.A. 15-POLIT.SOC.,A.A. 16-MEDIO RURAL,A.A. 17-MOVILIDAD,A.A. 18-CULTURA,A.A. 19-FOMENTO,Ayuntamientos,Diputaciones
MARÍA PÉREZ,13,13.1,BigData en nuestras estadísticas predictivas,"Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible. Secretaría General de Agricultura, Ganadería y Alimentación",Pilar Garrido/Juan Bascón,2017,ACTUALIDAD,SI,EM,ANDALUCIA,ANDALUCIA,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
MARÍA PÉREZ,13,13.2,"GEOPORTAL, Toda La Información Geográfica De Tu Comunidad A Solo Un Clic!","Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible. Secretaría General de Agricultura, Ganadería y Alimentación","Servicio de estudios y estadísticas, servicio de Informática, Pilar Garrido, Juan Bascón y Servicio de Informática",2018,ACTUALIDAD,SI,EM,ANDALUCIA,ANDALUCIA,1,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
MARÍA PÉREZ,13,13.3,Cal Patrimonio de la Unesco ( Museo de la Cal),"Consejería de Agricultura, Ganadería, Pesca y Desarrollo Sostenible. Dirección General de Industrias, Innovación y Cadena Agroalimentaria",Servicio de Programas y Desarrollo Rural. María Castillo y Rodrigo Ortiz,2014,ACTUALIDAD,SI,EM,ANDALUCIA,SEVILLA,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,
MARÍA PÉREZ,13,13.4,Identificación y trazabilidad animal,"Consejería de Agricultura, Ganadería , Pesca y Desarrollo sostenible. Dirección General  de Producción Agrícola y Ganadera",Servicio de sanidad animal y Servicio de Producción ganadera. Manuel Fernández Morente y  Rafael Bazán,2013,ACTUALIDAD,SI,INST,ANDALUCIA,ANDALUCIA,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,
MARÍA PÉREZ,13,13.5,Adaptación de tubos para toma de muestras en explotaciones ganaderas,"Consejería de Agricultura; Ganadería, Pesca y Desarrollo Sostenible. Dirección General de Producción Agrícola y Ganadera",Servicio de Sanidad Animal y Servicio de Producción Ganadera. Manuel Fernández Morente y Rafael Bazán,2013,ACTUALIDAD,SI,INST,ANDALUCIA,ANDALUCIA,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,
